TEAM,win%,off_eff,def_eff,net_eff,ts%,opp_ts%,net_ts%,eff_fg%,opp_eff_fg%,net_eff_fg%,3_pt%,3_rate,pace,rebr,off_rebr,def_rebr,to_rate,2_pt%
Atlanta,0.200,1.009,1.102,-0.09300,1.07700,1.15600,-0.07900,0.50700,0.54400,-0.03700,0.31600,0.38400,107.60000,0.48200,0.21900,0.73600,17,0.527
Boston,0.731,1.079,1.008,0.07100,1.11300,1.06200,0.05100,0.52200,0.50000,0.02200,0.35500,0.38600,102.80000,0.49300,0.23400,0.76300,13.6,0.516
Brooklyn,0.552,1.043,1.042,0.00100,1.09100,1.06400,0.02700,0.51600,0.49700,0.01900,0.33700,0.40400,107.30000,0.51700,0.23900,0.77000,15.9,0.523
Charlotte,0.406,1.035,1.095,-0.06000,1.08000,1.14500,-0.06500,0.51100,0.54800,-0.03700,0.36200,0.40600,101.00000,0.49100,0.24300,0.74900,15.2,0.489
Chicago,0.387,1.012,1.025,-0.01300,1.06700,1.10800,-0.04100,0.50100,0.51600,-0.01500,0.35000,0.39600,104.80000,0.47900,0.21700,0.75700,15.7,0.485
Cleveland,0.276,1.021,1.114,-0.09300,1.06600,1.16200,-0.09600,0.50400,0.56100,-0.05700,0.34100,0.37100,101.80000,0.50700,0.23900,0.78000,15.9,0.5
Dallas,0.679,1.136,1.051,0.08500,1.15900,1.07100,0.08800,0.54800,0.50600,0.04200,0.36500,0.45300,103.50000,0.51200,0.23400,0.77500,12.8,0.549
Denver,0.704,1.050,1.000,0.05000,1.07700,1.05200,0.02500,0.51300,0.49500,0.01800,0.35600,0.33600,101.70000,0.50800,0.24300,0.78400,14,0.502
Detroit,0.367,1.058,1.076,-0.01800,1.13000,1.12700,0.00300,0.53800,0.53500,0.00300,0.37900,0.38200,102.40000,0.50400,0.22800,0.77200,16.2,0.518
Golden State,0.200,1.006,1.092,-0.08600,1.04900,1.15400,-0.10500,0.48300,0.55100,-0.06800,0.32700,0.32600,104.00000,0.48700,0.22900,0.75900,14.7,0.479
Houston,0.690,1.115,1.063,0.05200,1.15600,1.11500,0.04100,0.54200,0.53000,0.01200,0.35000,0.49700,108.00000,0.50300,0.24200,0.77200,15.2,0.559
Indiana,0.690,1.063,1.012,0.05100,1.11100,1.05800,0.05300,0.52600,0.49700,0.02900,0.36600,0.30000,102.90000,0.49900,0.21600,0.77600,13.6,0.517
LA Clippers,0.710,1.083,1.013,0.07000,1.12800,1.06900,0.05900,0.52800,0.49800,0.03000,0.36200,0.36300,106.90000,0.51700,0.24400,0.77100,16.1,0.52
LA Lakers,0.828,1.083,1.002,0.08100,1.14000,1.07500,0.06500,0.54600,0.50200,0.04400,0.35700,0.34700,104.00000,0.51500,0.23900,0.79400,15.3,0.552
Memphis,0.367,1.036,1.087,-0.05100,1.10100,1.13800,-0.03700,0.52300,0.53200,-0.00900,0.35600,0.35500,107.00000,0.49500,0.21900,0.77900,16,0.516
Miami,0.724,1.079,1.029,0.05000,1.16800,1.09000,0.07800,0.55000,0.51100,0.03900,0.38500,0.39500,104.40000,0.52600,0.21800,0.78900,16.9,0.532
Milwaukee,0.867,1.115,0.995,0.12000,1.17200,1.04400,0.12800,0.56300,0.49100,0.07200,0.36200,0.43500,108.30000,0.52100,0.21600,0.80800,14.8,0.578
Minnesota,0.357,1.049,1.085,-0.03600,1.09200,1.12800,-0.03600,0.51100,0.53000,-0.01900,0.32600,0.42400,108.00000,0.49900,0.23400,0.76100,15.4,0.527
New Orleans,0.233,1.037,1.099,-0.06200,1.09300,1.15500,-0.06200,0.52200,0.54200,-0.02000,0.36100,0.41800,107.90000,0.49500,0.22400,0.77900,16,0.507
New York,0.233,1.011,1.103,-0.09200,1.03000,1.15500,-0.12500,0.48800,0.54900,-0.06100,0.34400,0.34400,102.00000,0.50500,0.25200,0.76800,14.3,0.473
Okla City,0.500,1.062,1.051,0.01100,1.14200,1.08900,0.05300,0.53300,0.51400,0.01900,0.35300,0.35000,102.60000,0.48800,0.18500,0.76900,14.6,0.535
Orlando,0.414,1.026,1.044,-0.01800,1.04800,1.10600,-0.05800,0.48900,0.52900,-0.04000,0.33300,0.34800,100.80000,0.49900,0.22400,0.78300,13,0.484
Philadelphia,0.677,1.059,1.015,0.04400,1.12400,1.08600,0.03800,0.53500,0.51000,0.02500,0.36200,0.34400,103.20000,0.52800,0.23500,0.81600,15.9,0.532
Phoenix,0.379,1.071,1.079,-0.00800,1.12400,1.15800,-0.03400,0.52600,0.54600,-0.02000,0.35100,0.39000,107.20000,0.48500,0.20700,0.78700,14.2,0.525
Portland,0.467,1.066,1.072,-0.00600,1.10900,1.08200,0.02700,0.52000,0.50300,0.01700,0.36600,0.36800,105.80000,0.48800,0.22200,0.75500,13.8,0.502
Sacramento,0.414,1.044,1.071,-0.02700,1.09900,1.14400,-0.04500,0.52200,0.54200,-0.02000,0.35500,0.39800,100.70000,0.48900,0.23300,0.77300,15.3,0.514
San Antonio,0.393,1.053,1.089,-0.03600,1.09500,1.12500,-0.03000,0.51400,0.53200,-0.01800,0.35100,0.29000,106.20000,0.49700,0.21500,0.78900,13.8,0.509
Toronto,0.714,1.064,1.006,0.05800,1.12800,1.04000,0.08800,0.52900,0.48900,0.04000,0.37800,0.40700,105.30000,0.49000,0.21200,0.74700,15,0.502
Utah,0.621,1.042,1.030,0.01200,1.13300,1.06800,0.06500,0.53200,0.50300,0.02900,0.38700,0.37900,103.20000,0.51000,0.19800,0.80300,16.5,0.503
Washington,0.286,1.090,1.132,-0.04200,1.13600,1.19400,-0.05800,0.53500,0.56400,-0.02900,0.36700,0.37800,107.70000,0.46800,0.21500,0.75100,14.3,0.526
